labels,ap,counts,text
548,3.95,2,operate toaster
549,15.09,1,repair toaster
550,0.00,2,no_interaction toaster
551,36.85,7,clean toilet
552,11.86,1,flush toilet
553,23.64,3,open toilet
554,31.97,15,repair toilet
555,28.78,56,sit_on toilet
556,14.23,3,stand_on toilet
557,30.74,5,wash toilet
558,72.48,110,no_interaction toilet
559,53.27,232,brush_with toothbrush
560,46.34,320,hold toothbrush
561,12.75,1,wash toothbrush
562,0.00,19,no_interaction toothbrush
563,4.25,13,install traffic_light
564,5.99,17,repair traffic_light
565,6.61,21,stand_under traffic_light
566,14.02,24,stop_at traffic_light
567,4.55,725,no_interaction traffic_light
568,6.84,24,direct truck
569,37.34,147,drive truck
570,20.64,49,inspect truck
571,14.95,110,load truck
572,26.30,20,repair truck
573,24.15,278,ride truck
574,30.63,197,sit_on truck
575,20.46,14,wash truck
576,16.31,247,no_interaction truck
577,52.87,1081,carry umbrella
578,56.78,1477,hold umbrella
579,6.81,6,lose umbrella
580,12.25,14,open umbrella
581,5.60,9,repair umbrella
582,21.70,9,set umbrella
583,56.10,1271,stand_under umbrella
584,6.44,529,no_interaction umbrella
585,9.09,15,hold vase
586,19.29,17,make vase
587,0.00,1,paint vase
588,12.63,182,no_interaction vase
589,4.64,28,fill wine_glass
590,44.85,411,hold wine_glass
591,38.11,47,sip wine_glass
592,28.85,76,toast wine_glass
593,0.46,1,lick wine_glass
594,0.45,1,wash wine_glass
595,22.04,424,no_interaction wine_glass
596,26.87,8,feed zebra
597,54.89,2,hold zebra
598,69.09,4,pet zebra
599,41.68,76,watch zebra
600,21.17,2,no_interaction zebra
